X;Y;ID;NOMBRE;LAZO_AMBIENTAL;NOMBRE_ABREVIADO;DIRECCION;DIRECCION_NORMALIZADA;DISTRITO;NIVEL;GESTION;MODALIDAD;TEMATICAS;ESTADO;BARRIO;COMUNA;OBSERVACIONES
-58.430203565718969;-34.622318602398011;104;EPC N° 11 D.E. 8;2;EPC 11;AVDA. JUAN BAUTISTA ALBERDI 163;ALBERDI, JUAN BAUTISTA AV. 163;8;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;CABALLITO;COMUNA 06;LAZO AMBIENTAL 2015: 1
-58.49375583873433;-34.679790989692087;166;EII 20 DE 20;2;EII 20;GOLETA SANTA CRUZ 6997;GOLETA SANTA CRUZ 6997;20;INICIAL;ESTATAL;ESPECIAL;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;VILLA LUGANO;COMUNA 08;
-58.37684706333998;-34.593057631634963;86;JII 2 D.E. 1;1;JII 2;JUNCAL 690;JUNCAL 690;1;INICIAL;ESTATAL;COMUN;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;RETIRO;COMUNA 01;
-58.525233302058645;-34.621753738295496;202;ESCUELA CRISTIANA EVANGELICA ARGENTINA - A  474 - INICIAL;3;A - 474;IRIGOYEN 2150;IRIGOYEN 2150;17;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - CONSUMO RESPONSABLE;POSTULADOS ANTES DE 2017;VILLA REAL;COMUNA 10;
-58.422335225488936;-34.581548557569477;213;ESCUELA BILINGUE ARMONIA - A 1260 - NIVEL PRIMARIA;2;COL BILINGUE ARMONIA;THAMES 2472;THAMES 2472;9;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;PALERMO;COMUNA 14;
-58.525233302058645;-34.621753738295496;187;ESCUELA CRISTIANA EVANGELICA ARGENTINA - PRIMARIA A  474;3;A - 474;IRIGOYEN 2150;IRIGOYEN 2150;17;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR-BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES;POSTULADOS ANTES DE 2017;VILLA REAL;COMUNA 10;LAZO AMBIENTAL 2015: 1
-58.468700287577768;-34.573076714807044;160;EPC N°18   D.E 10;1;EPC 18;LA PAMPA 3855;LA PAMPA 3855;10;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;RATIFICO EN 2017;VILLA URQUIZA;COMUNA 12;
-58.403040790814252;-34.639301011279954;111;E.T. N° 07 D.E. 05;1;ET 7;ZAVALETA 204;ZAVALETA 204;5;SECUNDARIA;ESTATAL;TECNICA;GESTION INTEGRAL DE RESIDUOS;RATIFICO EN 2017;PARQUE PATRICIOS;COMUNA 04;LAZO AMBIENTAL 2015: 1
-58.433306338435102;-34.613022959495282;188;ESCUELA DEL PARQUE - NIVEL PRIMARIO A 1001;3;A - 1001;BOGOTA 123;BOGOTA 123;7;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR - BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - PARTICIPACION CIUDADANA - VIDA SALUDABLE;POSTULADOS ANTES DE 2017;CABALLITO;COMUNA 06;LAZO AMBIENTAL 2015: 1
-58.471187154674382;-34.587346045475549;97;E.I. N° 2 D.E. 14;3;E.I. 2;COMBATIENTES DE MALVINAS 3002;COMBATIENTES DE MALVINAS AV. 3002;14;INICIAL;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES;POSTULADOS ANTES DE 2017;PARQUE CHAS;COMUNA 15;LAZO AMBIENTAL 2015: 2
-58.365730014262056;-34.629629796711036;143;EI N°11 D.E. 4;2;EI 11;AVDA. ALMTE. BROWN Y CNEL. DE MARINA TOMAS ESPORA;BROWN, ALTE. AV. Y ESPORA, TOMAS, CORONEL DE MARINA;4;INICIAL;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;BOCA;COMUNA 04;
-58.406478020741211;-34.627729318150159;17;ESCUELA INFANTIL TIEMPO DE CRECER - NIVEL INICIAL;1;A 1501;LA RIOJA 1462;LA RIOJA 1462;6;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;SE POSTULO EN 2017;SAN CRISTOBAL;COMUNA 03;
-58.44106820931097;-34.550576258744051;224;ESCUELA ITALIANA CRISTOFORO COLOMBO - A 397 - NIVEL PRIMARIA;2;A 397;RAMSAY 2251;RAMSAY 2251;10;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;BELGRANO;COMUNA 13;
-58.44106820931097;-34.550576258744051;230;ESCUELA ITALIANA CRISTOFORO COLOMBO - A 397 - NIVEL SECUNDARIA;2;A 397;RAMSAY 2251;RAMSAY 2251;10;SECUNDARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;BELGRANO;COMUNA 13;
-58.441019668973595;-34.550484849327844;73;ESCUELA ITALIANA CRISTOFORO COLOMBO - NIVEL INICIAL;1;A 397;RAMSAY 2251;RAMSAY 2251;10;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - REUTILIZACION CREATIVA;SE POSTULO EN 2017;BELGRANO;COMUNA 13;
-58.409933357157826;-34.621086292758854;158;EPC N°15 D.E. 6;2;EPC 15;URIBURU 876;URIBURU 876;6;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;SAN CRISTOBAL;COMUNA 03;
-58.420817294140207;-34.586452335496887;124;EPC  N° 11  D.E. 9;2;EPC 11;MALABIA 2252;MALABIA 2252;9;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - PARTICIPACION CIUDADANA;RATIFICO EN 2017;PALERMO;COMUNA 14;LAZO AMBIENTAL 2015: 1
-58.467402505570895;-34.685995579060055;129;EPC N°1 D.E. 21;3;EPC 1;CAFAYATE 5115;CAFAYATE 5115;21;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR - BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - PARTICIPACION CIUDADANA - VIDA SALUDABLE;RATIFICO EN 2017;VILLA LUGANO;COMUNA 08;LAZO AMBIENTAL 2015: 2
-58.484130709868246;-34.570379178036447;127;EPC N°4  D.E. 15;2;EPC 4;AVDA. ALVAREZ THOMAS 3391;ALVAREZ THOMAS AV. 3391;15;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;VILLA URQUIZA;COMUNA 12;LAZO AMBIENTAL 2015: 1
-58.463538433476231;-34.633805842365952;162;EPC N°8  DE 11;3;EPC 8;VARELA 358;VARELA 358;11;PRIMARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR - BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - PARTICIPACION CIUDADANA - VIDA SALUDABLE - CONSUMO RESPONSABLE;POSTULADOS ANTES DE 2017;FLORES;COMUNA 07;
-58.454623427979065;-34.550634889974752;197;ESCUELA ORT - NIVEL SECUNDARIO - LIBERTADOR - A 845;3;A-845;MONTAÑESES 2845;DEL LIBERTADOR AV. 6796;10;SECUNDARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - MOVILIDAD SUSTENTABLE - HUERTA ESCOLAR - BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES;POSTULADOS ANTES DE 2017;NUÑEZ;COMUNA 13;LAZO AMBIENTAL 2015: 1
-58.42916910163482;-34.609958330343481;198;ESCUELA ORT - NIVEL SECUNDARIO - YATAY - A 531;3;A - 531;YATAY 240;YATAY 240;7;SECUNDARIA;PRIVADA;COMUN;GESTION DE RECURSO HIDRICO;POSTULADOS ANTES DE 2017;ALMAGRO;COMUNA 05;LAZO AMBIENTAL 2015: 1
-58.422095749708319;-34.587357969715811;172; EEM N°7  DE 9;1;EEM 7;MALABIA 2148;MALABIA 2146;9;SECUNDARIA;ESTATAL;COMUN;GESTION INTEGRAL DE RESIDUOS;RATIFICO EN 2017;PALERMO;COMUNA 14;
-58.513380312815308;-34.606440120962333;63;ESCUELA DEL MIRADOR - JARDIN CUENTA CUENTOS - NIVEL INICIAL;1;A 889 J;FERNANDEZ DE ENCISO 3565;FERNANDEZ DE ENCISO 3565;17;INICIAL;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;SE POSTULO EN 2017;VILLA DEVOTO;COMUNA 11;
-58.513295273177484;-34.606438353371928;64;ESCUELA DEL MIRADOR - NIVEL PRIMARIO;1;A 928;FERNANDEZ DE ENCISO 3565;FERNANDEZ DE ENCISO 3565;17;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;SE POSTULO EN 2017;VILLA DEVOTO;COMUNA 11;
-58.513354107695456;-34.606375228024383;66;ESCUELA DEL MIRADOR - NIVEL SECUNDARIO;2;A 928;FERNANDEZ DE ENCISO 3565;FERNANDEZ DE ENCISO 3565;17;SECUNDARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS - HUERTA - AGUA - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES;SE POSTULO EN 2017;VILLA DEVOTO;COMUNA 11;
-58.461437041176922;-34.628307262388681;164;EPAD N°2  DE 12  ADULTOS SECTOR IV;2;EPAD 2;CARACAS 10;CARACAS 10;12;PRIMARIA;ESTATAL;ADULTOS;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR - BIODIVERSIDAD & ESPACIOS VERDES - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - PARTICIPACION CIUDADANA - VIDA SALUDABLE - CONSUMO RESPONSABLE;POSTULADOS ANTES DE 2017;FLORES;COMUNA 07;
-58.363892509999246;-34.632880403485878;176;EEM  N°3 D.E. 4;3;EEM 3;PALOS Y JUAN MANUEL BLANES;BLANES, JUAN MANUEL Y PALOS;4;SECUNDARIA;ESTATAL;COMUN;EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - CAMBIO CLIMATICO & MEDICION DE LA HUELLA DE CARBONO - GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;BOCA;COMUNA 04;
-58.448965149575884;-34.662326361237383;175;EEM  N°2 D.E 19;3;EEM 2;MARTINEZ CASTRO 3067;MARTINEZ CASTRO 3067;19;SECUNDARIA;ESTATAL;COMUN;BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - PARTICIPACION CIUDADANA - GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;VILLA SOLDATI;COMUNA 08;
-58.379195360994778;-34.643479427329751;168;ET N°10 D.E. 5;3;ET 10;VIEYTES 942;VIEYTES 942;5;SECUNDARIA;ESTATAL;TECNICA;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR-BIODIVERSIDAD & ESPACIOS VERDES - GESTION DE RECURSO HIDRICO - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - CAMBIO CLIMATICO & MEDICION DE LA HUELLA DE CARBONO - PARTICIPACION CIUDADANA - VIDA SALUDA;POSTULADOS ANTES DE 2017;BARRACAS;COMUNA 04;
-58.457377691306128;-34.558059354191045;134;E.T. N° 28  D.E. 10;4;ET 28;CUBA 2410;CUBA 2410;10;SECUNDARIA;ESTATAL;TECNICA;HUERTA ESCOLAR - GESTION INTEGRAL DE RESIDUOS - BIODIVERSIDAD & ESPACIOS VERDES - CAMBIO CLIMATICO & MEDICION DE LA HUELLA DE CARBONO - ATENCION A LA DIVERSIDAD;POSTULADOS ANTES DE 2017;BELGRANO;COMUNA 13;LAZO AMBIENTAL 2014: 2 - LAZO AMBIENTAL 2015: 3
-58.493143622919931;-34.561682595150437;137;E.T. N° 36  D.E. 15;4;ET 36;GALVAN 3710;GALVAN 3700;15;SECUNDARIA;ESTATAL;TECNICA;GESTION INTEGRAL DE RESIDUOS - HUERTA ESCOLAR - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - PARTICIPACION CIUDADANA;POSTULADOS ANTES DE 2017;SAAVEDRA;COMUNA 12;LAZO AMBIENTAL 2014: 1 - LAZO AMBIENTAL 2015: 3
-58.483404070875771;-34.640300677857091;169;ET 8 DE 13;3;ET 08;PIO COLLIVADINO 436;COLLIVADINO, PIO 436;13;SECUNDARIA;ESTATAL;TECNICA;HUERTA ESCOLAR - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES - PARTICIPACION CIUDADANA - VIDA SALUDABLE - GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;PARQUE AVELLANEDA;COMUNA 09;
-58.42916910163482;-34.609958330343481;220;ESCUELA TECNICA ORT A  531 - PRIMARIA;2;531;RIO DE JANEIRO 471;YATAY 240;7;PRIMARIA;PRIVADA;COMUN;GESTION INTEGRAL DE RESIDUOS;POSTULADOS ANTES DE 2017;ALMAGRO;COMUNA 05;
-58.377252069943594;-34.591920540979025;130;E.T. N°  12 D.E. 01;3;ET 12;AVDA. DEL LIBERTADOR 238;DEL LIBERTADOR AV. 238;1;SECUNDARIA;ESTATAL;TECNICA;HUERTA ESCOLAR - GESTION INTEGRAL DE RESIDUOS - BIODIVERSIDAD & ESPACIOS VERDES - EFICIENCIA ENERGETICA Y ENERGIAS RENOVABLES;POSTULADOS ANTES DE 2017;RETIRO;COMUNA 01;LAZO AMBIENTAL 2015: 1
-58.467483859866441;-34.679327587214928;33;ET. N° 13 D.E. 21;2;ET 13;CNEL. MARTINIANO CHILAVERT 5460;CHILAVERT, MARTINIANO, CORONEL 5460;21;SECUNDARIA;ESTATAL;TECNICA;CUIDADO DEL AGUA - GESTION INTEGRAL DE LOS RESIDUOS - HUERTA ESCOLAR;SE POSTULO EN 2017;VILLA LUGANO;COMUNA 08;
-58.481779405474363;-34.640092339912002;47;ET N° 17 D.E. 13;2;ET 17;LACARRA 535;LACARRA 535;13;SECUNDARIA;ESTATAL;TECNICA;GESTION INTEGRAL DE LOS RESIDUOS;SE POSTULO EN 2017;PARQUE AVELLANEDA;COMUNA 09;
